opponent,parameter,value,is_baseline,seeds,capture_rate,ci_lo,ci_hi,survival_rate,avg_cop_score,decision_ms_p95
self,grid_size,5,0,200,1.0,0.9812,1.0,0.0,20.0,1.187
self,grid_size,7,1,200,1.0,0.9812,1.0,0.0,20.0,2.299
self,grid_size,9,0,200,1.0,0.9812,1.0,0.0,20.0,4.492
self,grid_size,11,0,200,0.0,0.0,0.0188,1.0,5.0,5.729
self,grid_size,13,0,200,0.0,0.0,0.0188,1.0,5.0,7.501
self,max_barriers,7,0,200,1.0,0.9812,1.0,0.0,20.0,2.254
self,max_barriers,14,1,200,1.0,0.9812,1.0,0.0,20.0,2.381
self,max_barriers,20,0,200,1.0,0.9812,1.0,0.0,20.0,2.354
self,max_barriers,28,0,200,1.0,0.9812,1.0,0.0,20.0,2.251
self,max_moves,25,0,200,1.0,0.9812,1.0,0.0,20.0,2.312
self,max_moves,35,1,200,1.0,0.9812,1.0,0.0,20.0,2.235
self,max_moves,45,0,200,1.0,0.9812,1.0,0.0,20.0,2.239
self,max_moves,60,0,200,1.0,0.9812,1.0,0.0,20.0,2.237
self,pheromone_decay,0.05,0,200,1.0,0.9812,1.0,0.0,20.0,2.236
self,pheromone_decay,0.1,1,200,1.0,0.9812,1.0,0.0,20.0,2.806
self,pheromone_decay,0.2,0,200,1.0,0.9812,1.0,0.0,20.0,2.265
self,pheromone_decay,0.4,0,200,1.0,0.9812,1.0,0.0,20.0,2.287
shortest,grid_size,5,0,200,1.0,0.9812,1.0,0.0,20.0,1.087
shortest,grid_size,7,1,200,1.0,0.9812,1.0,0.0,20.0,2.18
shortest,grid_size,9,0,200,1.0,0.9812,1.0,0.0,20.0,3.454
shortest,grid_size,11,0,200,1.0,0.9812,1.0,0.0,20.0,5.156
shortest,grid_size,13,0,200,1.0,0.9812,1.0,0.0,20.0,14.662
shortest,max_barriers,7,0,200,1.0,0.9812,1.0,0.0,20.0,3.493
shortest,max_barriers,14,1,200,1.0,0.9812,1.0,0.0,20.0,3.258
shortest,max_barriers,20,0,200,1.0,0.9812,1.0,0.0,20.0,2.211
shortest,max_barriers,28,0,200,1.0,0.9812,1.0,0.0,20.0,2.231
shortest,max_moves,25,0,200,1.0,0.9812,1.0,0.0,20.0,2.529
shortest,max_moves,35,1,200,1.0,0.9812,1.0,0.0,20.0,2.792
shortest,max_moves,45,0,200,1.0,0.9812,1.0,0.0,20.0,2.894
shortest,max_moves,60,0,200,1.0,0.9812,1.0,0.0,20.0,2.625
shortest,pheromone_decay,0.05,0,200,1.0,0.9812,1.0,0.0,20.0,2.449
shortest,pheromone_decay,0.1,1,200,1.0,0.9812,1.0,0.0,20.0,2.612
shortest,pheromone_decay,0.2,0,200,1.0,0.9812,1.0,0.0,20.0,2.208
shortest,pheromone_decay,0.4,0,200,1.0,0.9812,1.0,0.0,20.0,2.255
mobility,grid_size,5,0,200,1.0,0.9812,1.0,0.0,20.0,1.547
mobility,grid_size,7,1,200,1.0,0.9812,1.0,0.0,20.0,2.631
mobility,grid_size,9,0,200,1.0,0.9812,1.0,0.0,20.0,4.197
mobility,grid_size,11,0,200,1.0,0.9812,1.0,0.0,20.0,6.294
mobility,grid_size,13,0,200,1.0,0.9812,1.0,0.0,20.0,8.572
mobility,max_barriers,7,0,200,1.0,0.9812,1.0,0.0,20.0,2.078
mobility,max_barriers,14,1,200,1.0,0.9812,1.0,0.0,20.0,2.028
mobility,max_barriers,20,0,200,1.0,0.9812,1.0,0.0,20.0,2.097
mobility,max_barriers,28,0,200,1.0,0.9812,1.0,0.0,20.0,2.808
mobility,max_moves,25,0,200,1.0,0.9812,1.0,0.0,20.0,3.133
mobility,max_moves,35,1,200,1.0,0.9812,1.0,0.0,20.0,2.073
mobility,max_moves,45,0,200,1.0,0.9812,1.0,0.0,20.0,2.089
mobility,max_moves,60,0,200,1.0,0.9812,1.0,0.0,20.0,2.187
mobility,pheromone_decay,0.05,0,200,1.0,0.9812,1.0,0.0,20.0,2.658
mobility,pheromone_decay,0.1,1,200,1.0,0.9812,1.0,0.0,20.0,2.431
mobility,pheromone_decay,0.2,0,200,1.0,0.9812,1.0,0.0,20.0,2.318
