metric,value
primary_baseline,0.7683
primary_old_cand,0.915
primary_new_cand,0.93
police_capture_new,0.4867
cvc_old,0.8333
cvc_new,0.865
corner_trap_baseline,0.2033
corner_trap_old,0.04
corner_trap_new,0.51
fresh_edge_herder_baseline,0.34
fresh_edge_herder_old,0.9667
fresh_edge_herder_new,0.96
fresh_choke_controller_baseline,0.9667
fresh_choke_controller_old,0.98
fresh_choke_controller_new,0.98
fresh_delayed_corner_baseline,0.15
fresh_delayed_corner_old,0.0033
fresh_delayed_corner_new,0.38
fresh_seal_assist_baseline,0.69
fresh_seal_assist_old,0.72
fresh_seal_assist_new,0.77
matrix_greedy_old,0.93
matrix_greedy_new,0.93
matrix_random_old,0.97
matrix_random_new,0.925
matrix_shortest_old,0.93
matrix_shortest_new,0.93
matrix_mobility_old,0.93
matrix_mobility_new,0.945
matrix_corner_trap_old,0.04
matrix_corner_trap_new,0.48
matrix_barrier_heavy_old,0.99
matrix_barrier_heavy_new,0.99
matrix_deceptive_old,0.875
matrix_deceptive_new,0.835
matrix_reference_old,0.955
matrix_reference_new,0.965
